"millesime";"TypeZone";"CodeZone";"nb_logt_total";"nb_ls_qpv";"nb_mes";"nb_mes_qpv";"densite_ls_rp";"taux_vacance_tot";"taux_vacance_str";"taux_vacance_str_qpv";"taux_vacance_str_hors_qpv";"age_moyen_qpv";"age_moyen";"loyer_m2";"loyer_m2_qpv"
"2014";"Regions";"84";527391;0;9955;0;14.399263942787;3.27947947669697;1.66148115644489;NA;NA;NA;34.8171818552953;5.42960459937381;NA
"2015";"Regions";"84";535943;0;11284;0;14.6327945978445;3.52594939184168;1.96331495169932;NA;NA;NA;35.3107725017718;5.48661433276784;NA
"2016";"Regions";"84";545087;132582;11527;815;14.8678503284219;3.64943776844747;1.93253221369625;2.70784752296198;1.68313573008596;44.877796382616;35.7825718820346;5.53010380157906;4.91257164367171
"2017";"Regions";"84";554503;135843;11000;586;15.1401179016837;3.40196410687971;1.83387722618454;2.74813544326393;1.5366761274046;45.336594450947;36.0754107067636;5.56783348667935;4.94039592590084
"2018";"Regions";"84";567485;135051;10662;551;15.4825112202126;3.43959462795356;1.84690006840371;2.77086247638919;1.55762083624073;46.0030655085856;36.3477482188847;5.59821365463815;4.96618297220614
"2019";"Regions";"84";579573;133408;12248;291;15.8151163267687;3.1578654240655;1.63499828275984;2.32248748712208;1.4309719727865;47.6240705205085;36.8246243992755;5.64977312034027;4.98652829828739
"2020";"Regions";"84";585521;131437;9216;300;15.992191458946;3.05284009766435;1.54788777813609;2.07762632430113;1.39556181921282;48.3658787099523;37.3824242855087;5.80085788726207;5.15389374393118
"2021";"Regions";"84";594914;132791;9457;356;16.2299091395217;3.24871407733449;1.76976592003334;2.41836181845048;1.5839721582091;49.1796281374491;37.8577083675031;5.86759651844699;5.206817600995
"2022";"Regions";"84";603273;130616;10435;388;16.4193512477328;3.16657105436912;1.78614595848622;2.47817186781969;1.59558436120257;49.8462669198261;38.2344733713421;5.92028509473002;5.25149626371823
"2014";"Regions";"27";188702;0;2219;0;14.3984823267511;6.21411346688275;4.19082307208216;NA;NA;NA;37.670400735412;5.06193946674444;NA
"2015";"Regions";"27";189662;0;2038;0;14.4690487879743;5.31565373402108;3.31912984974209;NA;NA;NA;38.4334576089095;5.11139235655943;NA
"2016";"Regions";"27";191032;60278;2295;275;14.5641634510843;5.48905646906584;3.50003346645546;5.01705259378927;2.81612636962468;44.5056073525996;38.8893156996497;5.13628743715111;4.74198926715188
"2017";"Regions";"27";192182;61188;1851;270;14.6474272581111;5.03216232349774;3.2078640088816;4.78287221905305;2.49043856728731;45.1272144865006;39.7910959803721;5.15962124678799;4.78153307052124
"2018";"Regions";"27";192541;61018;1756;39;14.6738993002712;5.08353951794501;3.5378499346696;5.42407550284392;2.69090088783616;46.2205087023501;40.3886671736109;5.16844732162327;4.79178543294043
"2019";"Regions";"27";191629;59676;1254;23;14.6049488648775;5.24425247472532;3.49098661455355;5.10032992590189;2.77488087024885;47.1765869026074;40.7985868517143;5.14483601172727;4.75105800223248
"2020";"Regions";"27";193203;58201;1597;19;14.7241500082087;5.30526922799683;3.27587067297296;4.14020404762346;2.90639692263855;47.7605195787014;41.5395112314334;5.32297036705255;4.9607340630006
"2021";"Regions";"27";193407;55593;1023;21;14.7153003429517;5.87417100636489;4.04982863755731;5.64973940673861;3.40532144892018;48.7698990880147;42.2303906956799;5.3833079489132;5.00177941484094
"2022";"Regions";"27";193589;57960;1366;57;14.6829798263609;5.07690749721513;3.50443891845667;4.52564468550766;3.07585402672503;49.4049516908213;42.9121869153001;5.41790175592122;5.01882259112488
"2014";"Regions";"53";166585;0;3196;0;10.55589261873;2.52083240780113;1.09794563582476;NA;NA;NA;29.5144710456813;5.1208448978492;NA
"2015";"Regions";"53";169136;0;3836;0;10.72697541813;2.80686218874137;1.22102558665977;NA;NA;NA;29.8456253496893;5.1649208573949;NA
"2016";"Regions";"53";171402;36303;3435;24;10.8806337151391;2.58541145989282;1.03025377484739;1.19830692672882;0.984590039088302;45.6004462441121;30.130409252669;5.186020182738;4.56822235295424
"2017";"Regions";"53";174612;36686;3767;110;11.0961167280386;2.65819300324345;1.06220004069273;1.7479640191822;0.878929207902021;46.4036689745407;30.5589482316403;5.20581723660616;4.57443669700362
"2018";"Regions";"53";178038;36642;2862;193;11.3205055977156;2.53971805773104;1.02754648985408;1.88178183894917;0.805626029287399;47.1728617433546;30.9154353080677;5.23191884442253;4.5830244576053
"2019";"Regions";"53";181748;36457;3167;7;11.5625771105595;2.58537036181322;1.1638787486715;2.01348081576218;0.950784614050805;48.1138053048797;31.2681408964821;5.32622267742817;4.66432103093368
"2020";"Regions";"53";184820;36479;3020;2;11.7611519026205;2.55286437119222;1.04466652133506;1.88860995971744;0.838236134117782;48.9775213136325;31.7074306973069;5.40334929685226;4.74635562067751
